Quantity,Name,Designator,Manufacturer,Value,Description,Footprint,Voltage,Dielectric,Manufacturer Part Number,LCSC Part Number

"10","10 µF","C1A, C1B, C5A, C5B, C6A, C6B, C8A, C8B, C10A, C10B","UZgen","10 µF","Generic capacitor","C_0603_TE","16V","","UZgen_C_0603_10uF_16V_X7R",""
"6","100 nF","C2A, C2B, C3A, C3B, C4A, C4B","UZgen","100 nF","Generic capacitor","C_0603_TE","50V","","UZgen_C_0603_100nF_50V_X7R",""
"2","4.7 nF","C7A, C7B","UZgen","4.7 nF","Generic capacitor","C_0603_TE","50V","","UZgen_C_0603_4.7nF_50V_X7R",""
"2","1 nF","C9A, C9B","YAGEO","1 nF","Capacitor 0603, 50 VDC, 1 nF, NP0","C_0603","","","CC0603JRNPO9BN102","C106246"
"3","LG T67K-H2K1-24-Z","D1, D2, D4","OSRAM Opto Semicon","","Standard LEDs - SMD Green, 570nm 9mcd, 2mA","FP-LS_T676-Q1R2-1-Z-MFG","","","LG T67K-H2K1-24-Z","C5248446"
"1","LS T676-Q1R2-1","D3","OSRAM Opto Semicon","","Standard LEDs - SMD Super Red, 645nm 180mcd, 20mA","FP-LS_T676-Q1R2-1-Z-MFG","","","LS T676-Q1R2-1","C19360690"
"4","MBR0520LT1G","D5A, D5B, D6A, D6B","onsemi","-","Schottky Diodes & Rectifiers 0.5A 20V","SOD3816X120N","0.5A","","MBR0520LT1G","C23848"
"2","CDSOT23-T24CAN","D7A, D7B","Bourns","TVS, 24 V","ESD Protection Diodes / TVS Diodes SOT-23 24V CANbus","SOT95P237X112-3N","","","CDSOT23-T24CAN","C2959841"
"2","744235900","L1A, L1B","Wuerth Elektronik","50 mOhm","Common Mode Chokes / Filters WE-CNSW 1812 2000mA 0.3uH 100kHz AECQ200","WE-CNSW-1812","","","744235900",""
"4","1271.1000","LG1, LG2, LG3, LG4","MENTOR","1271.1000","Light guide, horizontal, 18.29 mm, 1 rod, round, PCB mounting, transparent","1271.1000","","","1271.1000","C22441102"
"3","1k6","R1, R2, R4","UZgen","1k6","Generic resistor","R_1206_TE","","","UZgen_R_1206_1k6",""
"1","4k7","R3","UZgen","4k7","Generic resistor","R_1206_TE","","","UZgen_R_1206_4k7",""
"4","62R","R5A, R5B, R6A, R6B","UZgen","62R","Generic resistor","R_0603_TE","","","UZgen_R_0603_62R",""
"2","22k","R7A, R7B","UZgen","22k","Generic resistor","R_0603_TE","","","UZgen_R_0603_22k",""
"2","6k98","R8A, R8B","YAGEO","6k98","SMD resistor 1%","RES 0603_1608","","","RC0603FR-076K98L","C137686"
"2","218-2LPSTR","SW1A, SW1B","CTS Electronic Components","218-2LPSTR","DIP Switches/SIP Switches SPST 2 switch sections","2182LPSTR","","","218-2LPSTR","C2961921"
"2","SN6505","U1A, U1B","Texas Instruments","SN6505","Low-Noise 1-A Transformer Drivers for Isolated Power Supplies","SOT95P280X145-6N","","","SN6505BDBVR","C74518"
"2","ISO1042","U2A, U2B","Texas Instruments","ISO1042","CAN Interface IC Isolated CAN transceiver with 70-V bus fault protection & flexible data rate 8-SOIC -40 to 125","SOIC127P1150X280-8L50N","","","ISO1042BDWVR","C484409"
"2","760390015","U3A, U3B","Wuerth Elektronik","","MID-PPTI Push-Pull Transformers for Texas Instruments; belongs to SN74AVC4T774RSVR","760390015","","","760390015","C249186"
"2","LT1761","U4A, U4B","Linear Technology","LT1761","100mA, Low Noise, LDO Micropower Regulators","SOT23-5_N","","","LT1761ES5-BYP#TRPBF","C655161"
"1","MTSW-107-11-T-D-740","X1","SAMTEC","MTSW-107-11-T-D-740","Headers & Wire Housings Classic PCB Header Strips, 0.100"" pitch","MTSW-107-11-T-D-740","","","MTSW-107-11-T-D-740","C3332627"
"2","D-SUB 9, female","X4A, X4B","Wuerth Elektronik","D-SUB 9, female","D-Sub Standard Connectors WR-DSUB Female PCB 9Pin Hex Scrw 8.08mm","618009231121","","","618009231121","C141882"
