Altium Designer Pick and Place Locations
C:\GIT\UltraZohm\pcb_design\uz_frontpanel_firstfloor\Project Outputs for uz_frontpanel_firstfloor\Rev02\Pick Place\Pick Place for uz_frontpanel_firstfloor(Default).csv

========================================================================================================================
File Design Information:

Date:       16.06.26
Time:       21:23
Revision:   52323261f8dda3e24265280db94f5ee4ebb99503
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"LG1","1271.1000","83.9700","83.9700","13.3900","9.1400","83.9700","13.3900","270","1271.1000","TopLayer"
"LG2","1271.1000","91.9700","91.9700","13.3900","9.1400","91.9700","13.3900","270","1271.1000","TopLayer"
"LG3","1271.1000","99.9700","99.9700","13.3900","9.1400","99.9700","13.3900","270","1271.1000","TopLayer"
"LG4","1271.1000","107.9700","107.9700","13.3900","9.1400","107.9700","13.3900","270","1271.1000","TopLayer"
"SW1B","2182LPSTR","57.6500","57.6500","19.2000","19.2000","53.8400","19.8350","270","218-2LPSTR","TopLayer"
"SW1A","2182LPSTR","18.6000","18.6000","19.2000","19.2000","14.7900","19.8350","270","218-2LPSTR","TopLayer"
"X4B","618009231121","56.0501","56.0501","6.2002","9.5002","61.5901","10.9202","0","D-SUB 9, female","TopLayer"
"X4A","618009231121","17.0000","17.0000","6.2000","9.5000","22.5400","10.9200","0","D-SUB 9, female","TopLayer"
"U3B","760390015","51.8502","51.8502","34.8002","34.8002","54.3902","39.3702","270","760390015","TopLayer"
"U3A","760390015","12.8000","12.8000","34.8000","34.8000","15.3400","39.3700","270","760390015","TopLayer"
"C9B","C_0603","53.2501","53.2501","23.1002","23.1002","53.2501","22.4002","90","1 nF","TopLayer"
"C9A","C_0603","14.2000","14.2000","23.1000","23.1000","14.2000","22.4000","90","1 nF","TopLayer"
"C10B","C_0603_TE","55.2502","55.2502","23.4002","23.4002","56.0202","23.4002","270","10 µF","TopLayer"
"C10A","C_0603_TE","16.2000","16.2000","23.4000","23.4000","16.9700","23.4000","270","10 µF","TopLayer"
"C8B","C_0603_TE","54.5501","54.5501","25.5002","25.5002","54.5501","24.7302","180","10 µF","TopLayer"
"C8A","C_0603_TE","15.5000","15.5000","25.5000","25.5000","15.5000","24.7300","180","10 µF","TopLayer"
"C7B","C_0603_TE","60.3502","60.3502","26.4002","26.4002","60.3502","27.1702","0","4.7 nF","TopLayer"
"C7A","C_0603_TE","21.3000","21.3000","26.4000","26.4000","21.3000","27.1700","0","4.7 nF","TopLayer"
"C6B","C_0603_TE","54.5501","54.5502","28.0002","28.0002","54.5502","28.7702","0","10 µF","TopLayer"
"C6A","C_0603_TE","15.5000","15.5000","28.0000","28.0000","15.5000","28.7700","0","10 µF","TopLayer"
"C5B","C_0603_TE","66.6502","66.6501","28.7002","28.7002","66.6501","27.9302","180","10 µF","TopLayer"
"C5A","C_0603_TE","27.6000","27.6000","28.7000","28.7000","27.6000","27.9300","180","10 µF","TopLayer"
"C4B","C_0603_TE","65.4502","65.4501","28.7002","28.7002","65.4501","27.9302","180","100 nF","TopLayer"
"C4A","C_0603_TE","26.4000","26.4000","28.7000","28.7000","26.4000","27.9300","180","100 nF","TopLayer"
"C3B","C_0603_TE","54.2502","54.2502","43.3002","43.3002","54.2502","44.0702","0","100 nF","TopLayer"
"C3A","C_0603_TE","15.2000","15.2000","43.3000","43.3000","15.2000","44.0700","0","100 nF","TopLayer"
"C2B","C_0603_TE","64.2502","64.2502","42.0002","42.0002","65.0202","42.0002","270","100 nF","TopLayer"
"C2A","C_0603_TE","25.2000","25.2000","42.0000","42.0000","25.9700","42.0000","270","100 nF","TopLayer"
"C1B","C_0603_TE","64.2502","64.2502","43.2002","43.2002","65.0202","43.2002","270","10 µF","TopLayer"
"C1A","C_0603_TE","25.2000","25.2000","43.2000","43.2000","25.9700","43.2000","270","10 µF","TopLayer"
"D1","FP-LS_T676-Q1R2-1-Z-MFG","83.9700","83.9700","9.1400","9.1400","85.4700","9.1400","180","LG T67K-H2K1-24-Z","TopLayer"
"D4","FP-LS_T676-Q1R2-1-Z-MFG","107.9700","107.9700","9.1400","9.1400","109.4700","9.1400","180","LG T67K-H2K1-24-Z","TopLayer"
"D3","FP-LS_T676-Q1R2-1-Z-MFG","99.9700","99.9700","9.1400","9.1400","101.4700","9.1400","180","LS T676-Q1R2-1","TopLayer"
"D2","FP-LS_T676-Q1R2-1-Z-MFG","91.9700","91.9700","9.1400","9.1400","93.4700","9.1400","180","LG T67K-H2K1-24-Z","TopLayer"
"X1","MTSW-107-11-T-D-740","106.2350","113.8550","25.0700","23.8000","106.2350","25.0700","0","MTSW-107-11-T-D-740","BottomLayer"
"R7B","R_0603_TE","51.6501","51.6501","23.3502","23.3502","51.6501","24.0802","0","22k","TopLayer"
"R7A","R_0603_TE","12.6000","12.6000","23.3500","23.3500","12.6000","24.0800","0","22k","TopLayer"
"R6B","R_0603_TE","58.8502","58.8502","26.3002","26.3002","58.8502","25.5702","180","62R","TopLayer"
"R6A","R_0603_TE","19.8000","19.8000","26.3000","26.3000","19.8000","25.5700","180","62R","TopLayer"
"R5B","R_0603_TE","61.8502","61.8502","26.3002","26.3002","61.8502","27.0302","0","62R","TopLayer"
"R5A","R_0603_TE","22.8000","22.8000","26.3000","26.3000","22.8000","27.0300","0","62R","TopLayer"
"R4","R_1206_TE","121.4750","121.4750","10.7200","10.7200","119.9750","10.7200","90","1k6","TopLayer"
"R2","R_1206_TE","118.7050","118.7050","15.7200","15.7200","117.2050","15.7200","90","1k6","TopLayer"
"R3","R_1206_TE","121.4500","121.4500","13.2200","13.2200","119.9500","13.2200","90","4k7","TopLayer"
"R1","R_1206_TE","118.7050","118.7050","18.2200","18.2200","117.2050","18.2200","90","1k6","TopLayer"
"R8B","RES_0603_1608","50.0502","50.0502","23.3502","23.3502","50.0502","22.7002","90","6k98","TopLayer"
"R8A","RES_0603_1608","11.0000","11.0000","23.3500","23.3500","11.0000","22.7000","90","6k98","TopLayer"
"D6B","SOD3816X120N","48.3501","48.3501","26.7002","26.7002","48.3501","24.9002","90","MBR0520LT1G","TopLayer"
"D6A","SOD3816X120N","9.3000","9.3000","26.7000","26.7000","9.3000","24.9000","90","MBR0520LT1G","TopLayer"
"D5B","SOD3816X120N","56.3502","56.3502","26.7002","26.7002","56.3502","24.9002","90","MBR0520LT1G","TopLayer"
"D5A","SOD3816X120N","17.3000","17.3000","26.7000","26.7000","17.3000","24.9000","90","MBR0520LT1G","TopLayer"
"U2B","SOIC127P1150X280-8L50N","61.5502","61.5502","34.8002","34.8002","63.4552","40.1302","270","ISO1042","TopLayer"
"U2A","SOIC127P1150X280-8L50N","22.5000","22.5000","34.8000","34.8000","24.4050","40.1300","270","ISO1042","TopLayer"
"U4B","SOT23-5_N","51.9502","51.9502","27.1002","27.1002","52.9001","28.3002","270","LT1761","TopLayer"
"U4A","SOT23-5_N","12.9000","12.9000","27.1000","27.1000","13.8500","28.3000","270","LT1761","TopLayer"
"D7B","SOT95P237X112-3N","60.5502","60.5502","15.0002","15.0002","61.7002","14.0502","180","CDSOT23-T24CAN","TopLayer"
"D7A","SOT95P237X112-3N","21.5000","21.5000","15.0000","15.0000","22.6500","14.0500","180","CDSOT23-T24CAN","TopLayer"
"U1B","SOT95P280X145-6N","51.8502","51.8502","42.6002","42.6002","50.9001","41.4502","90","SN6505","TopLayer"
"U1A","SOT95P280X145-6N","12.8000","12.8000","42.6000","42.6000","11.8500","41.4500","90","SN6505","TopLayer"
"L1B","WE-CNSW-1812","64.9501","64.9502","17.9002","17.9001","63.8249","19.7251","270","744235900","TopLayer"
"L1A","WE-CNSW-1812","25.9000","25.9000","17.9000","17.8999","24.7748","19.7249","270","744235900","TopLayer"
